"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"EST","INCOMEINEQ","GINI","INEQ","A","2017",0.309,
"EST","INCOMEINEQ","GINI","INEQ","A","2018",0.305,
"EST","INCOMEINEQ","GINI","INEQ","A","2019",0.305,
"ISR","INCOMEINEQ","GINI","INEQ","A","2016",0.346,
"ISR","INCOMEINEQ","GINI","INEQ","A","2017",0.344,
"ISR","INCOMEINEQ","GINI","INEQ","A","2018",0.348,
"SVN","INCOMEINEQ","GINI","INEQ","A","2016",0.244,
"SVN","INCOMEINEQ","GINI","INEQ","A","2017",0.243,
"SVN","INCOMEINEQ","GINI","INEQ","A","2018",0.249,
"SVN","INCOMEINEQ","GINI","INEQ","A","2019",0.246,
"LVA","INCOMEINEQ","GINI","INEQ","A","2016",0.346,
"LVA","INCOMEINEQ","GINI","INEQ","A","2017",0.355,
"LVA","INCOMEINEQ","GINI","INEQ","A","2018",0.351,
"LVA","INCOMEINEQ","GINI","INEQ","A","2019",0.344,"P"
"LTU","INCOMEINEQ","GINI","INEQ","A","2016",0.378,
"LTU","INCOMEINEQ","GINI","INEQ","A","2017",0.374,
"LTU","INCOMEINEQ","GINI","INEQ","A","2018",0.361,
"LTU","INCOMEINEQ","GINI","INEQ","A","2019",0.357,
"CRI","INCOMEINEQ","GINI","INEQ","A","2016",0.484,
"CRI","INCOMEINEQ","GINI","INEQ","A","2017",0.48,
"CRI","INCOMEINEQ","GINI","INEQ","A","2018",0.479,
"CRI","INCOMEINEQ","GINI","INEQ","A","2019",0.478,
